fips,county,candidate,party,votes,state,pst045214,pst040210,pst120214,pop010210,age135214,age295214,age775214,sex255214,rhi125214,rhi225214,rhi325214,rhi425214,rhi525214,rhi625214,rhi725214,rhi825214,pop715213,pop645213,pop815213,edu635213,edu685213,vet605213,lfe305213,hsg010214,hsg445213,hsg096213,hsg495213,hsd410213,hsd310213,inc910213,inc110213,pvy020213,bza010213,bza110213,bza115213,nes010213,sbo001207,sbo315207,sbo115207,sbo215207,sbo515207,sbo415207,sbo015207,man450207,wtn220207,rtn130207,rtn131207,afn120207,bps030214,lnd110210,pop060210
45001,Abbeville,Hillary Clinton,Democrat,1501,South Carolina,24965,25416,-1.8,25417,5.4000000000000004,21.5,19.399999999999999,51.5,69.700000000000003,28.300000000000001,0.29999999999999999,0.40000000000000002,0,1.2,1.2,68.799999999999997,89.599999999999994,1,2.2999999999999998,76.799999999999997,12.199999999999999,1944,27.100000000000001,12002,76.400000000000006,6.2000000000000002,91200,9809,2.4900000000000002,18134,35947,21.600000000000001,335,4387,2.7000000000000002,1393,1385,19.100000000000001,0,0,0,0,33.399999999999999,657498,0,71936,2841,10963,41,490.48000000000002,51.799999999999997
22001,Acadia,Hillary Clinton,Democrat,1862,Louisiana,62486,61773,1.2,61773,7.0999999999999996,26.699999999999999,13.5,51.5,79.599999999999994,18.300000000000001,0.29999999999999999,0.40000000000000002,0,1.3,2.2000000000000002,77.799999999999997,86.5,1.1000000000000001,14.5,72.099999999999994,10.199999999999999,3417,28.399999999999999,25851,70.299999999999997,6.7999999999999998,88600,22527,2.7000000000000002,19910,37587,18.699999999999999,1130,13159,3.1000000000000001,4137,4289,0,0,0,0,1.3999999999999999,25.399999999999999,0,0,525956,8808,40790,123,655.12,94.299999999999997
51001,Accomack,Donald Trump,Republican,2068,Virginia,33021,33164,-0.40000000000000002,33164,6,20.899999999999999,21.300000000000001,51.299999999999997,68.799999999999997,28.100000000000001,0.69999999999999996,0.69999999999999996,0.20000000000000001,1.6000000000000001,8.9000000000000004,61.100000000000001,93.099999999999994,7,10.1,78,17.199999999999999,3255,21.199999999999999,21069,69.5,5.2000000000000002,153600,14333,2.25,22703,39328,20.5,760,8779,-0.59999999999999998,2306,2944,6,0,0,0,0,23.100000000000001,526157,59400,298001,7749,48144,67,449.5,73.799999999999997
16001,Ada,Ted Cruz,Republican,20156,Idaho,426236,392365,8.5999999999999996,392365,6.2000000000000002,25.100000000000001,12.6,49.899999999999999,92.400000000000006,1.3,0.80000000000000004,2.6000000000000001,0.20000000000000001,2.7000000000000002,7.7000000000000002,85.5,82.5,5.9000000000000004,8.4000000000000004,93.599999999999994,36,29195,19.600000000000001,167215,68.099999999999994,16.800000000000001,183600,151600,2.6000000000000001,27452,55210,13.1,12216,174796,2.2000000000000002,33207,42344,0.40000000000000002,1,1.3,0,2.1000000000000001,25.399999999999999,4942388,6006918,5855102,15720,795953,3968,1052.5799999999999,372.80000000000001
40001,Adair,Donald Trump,Republican,3511,Oklahoma,22186,22683,-2.2000000000000002,22683,6.7999999999999998,26.800000000000001,14.5,49.700000000000003,44.600000000000001,0.5,44,0.59999999999999998,0,10.300000000000001,6.0999999999999996,41.899999999999999,93.200000000000003,2.5,8.8000000000000007,77.400000000000006,12.699999999999999,1691,23.5,9219,70.799999999999997,6,75300,8046,2.7599999999999998,15116,32556,26.399999999999999,219,2960,-3.7999999999999998,1378,1533,0,26.399999999999999,0,0,0,22,414425,0,108389,4941,6082,25,573.48000000000002,39.600000000000001
55001,Adams,Donald Trump,Republican,28150,Wisconsin,20215,20875,-3.2000000000000002,20875,3.7000000000000002,14.9,27.100000000000001,46.399999999999999,94,3.2000000000000002,1.1000000000000001,0.5,0.10000000000000001,1.2,3.8999999999999999,90.599999999999994,88.400000000000006,3.3999999999999999,5.4000000000000004,85.299999999999997,12.1,2551,28,17393,85.299999999999997,6,135600,8278,2.3399999999999999,22196,44897,10.6,329,3157,0.80000000000000004,1064,1469,0,0,0,0,0,11.699999999999999,0,12643,130364,6381,41954,61,645.64999999999998,32.299999999999997
45003,Aiken,Donald Trump,Republican,9027,South Carolina,164753,160106,2.8999999999999999,160099,5.7000000000000002,22.100000000000001,17.5,51.5,71.400000000000006,25.100000000000001,0.5,0.90000000000000002,0.10000000000000001,1.8999999999999999,5.4000000000000004,67,88,3.3999999999999999,5.2000000000000002,84.799999999999997,24,14081,25.199999999999999,74032,73.299999999999997,9.4000000000000004,124600,63388,2.5,24769,44509,18.899999999999999,2674,47188,-0.90000000000000002,9909,11931,11.199999999999999,1,1.8,0,2.3999999999999999,31,3959342,0,1599845,10450,172893,678,1071.03,149.5
12001,Alachua,Hillary Clinton,Democrat,17733,Florida,256380,247335,3.7000000000000002,247336,5.5999999999999996,18.100000000000001,12.5,51.700000000000003,70.599999999999994,20.5,0.29999999999999999,5.9000000000000004,0.10000000000000001,2.6000000000000001,9.0999999999999996,62.600000000000001,74.200000000000003,10.699999999999999,13.800000000000001,91.200000000000003,40.5,17015,19.899999999999999,114060,54.100000000000001,37.399999999999999,167900,96043,2.4300000000000002,24857,42149,24.899999999999999,5850,84425,2,16536,20676,7.7999999999999998,0,3.7999999999999998,0,6.7000000000000002,31.600000000000001,0,0,3152244,13124,493980,762,875.01999999999998,282.69999999999999
37001,Alamance,Hillary Clinton,Democrat,7374,North Carolina,155792,151241,3,151131,5.7999999999999998,22.899999999999999,16.100000000000001,52.299999999999997,75.5,19.5,1.3999999999999999,1.6000000000000001,0.10000000000000001,1.8999999999999999,12.1,65.700000000000003,85.299999999999997,7.5999999999999996,11.800000000000001,83,21.699999999999999,10719,23.300000000000001,68102,67.099999999999994,17,137000,60139,2.46,23166,43043,18.300000000000001,3162,50672,0.20000000000000001,9280,11125,8.6999999999999993,0,2.2999999999999998,0,0,27.100000000000001,3163071,655841,1968813,13595,219415,606,423.94,356.5
6001,Alameda,Hillary Clinton,Democrat,107102,California,1610921,1510261,6.7000000000000002,1510271,6.0999999999999996,21.399999999999999,12.5,51,51.700000000000003,12.1,1.1000000000000001,28.899999999999999,1,5.2000000000000002,22.699999999999999,32.799999999999997,84.099999999999994,30.800000000000001,43.100000000000001,86.400000000000006,41.799999999999997,63738,28.800000000000001,592355,53.200000000000003,38.200000000000003,493800,545071,2.7599999999999998,35763,72112,12.5,37108,598309,1.8999999999999999,124216,140342,6.7999999999999998,0,24.399999999999999,0,8.9000000000000004,32.200000000000003,25236865,35674007,17909054,12359,2807766,3438,739.01999999999998,2043.5999999999999
